species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Feldsperling,2,2019,2019-03-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
Feldsperling,2,2019,2019-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Feldsperling,2,2019,2019-05-03,1,0,?,?,T,?,?,?,?,?,?,?,?,?,123
Feldsperling,2,2019,2019-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Feldsperling,2,2020,2020-04-09,6,0,F,F,T,F,?,F,F,F,F,F,F,?,100
Feldsperling,2,2020,2020-05-06,6,0,F,F,T,F,?,F,F,F,F,F,F,?,127
Feldsperling,2,2020,2020-03-26,7,0,F,F,T,F,?,F,F,F,F,F,F,?,86
Feldsperling,2,2020,2020-06-12,2,0,F,F,T,F,?,F,F,F,F,F,F,?,164
Feldsperling,2,2021,2021-03-29,8,0,F,F,T,F,?,F,F,F,F,F,F,?,88
Feldsperling,2,2021,2021-05-07,7,0,F,T,T,F,?,F,F,F,F,F,F,?,127
Feldsperling,2,2021,2021-06-07,3,0,F,F,T,F,?,F,F,F,F,F,F,?,158
Feldsperling,2,2021,2021-04-19,2,0,F,F,T,F,?,F,F,F,F,F,F,?,109
Feldsperling,2,2022,2022-03-25,5,0,F,T,T,F,F,F,F,F,F,F,F,?,84
Feldsperling,2,2022,2022-05-04,5,0,F,F,T,F,F,F,F,F,F,F,F,?,124
Feldsperling,2,2022,2022-06-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Feldsperling,2,2022,2022-04-14,2,0,F,F,T,F,F,F,F,F,F,F,F,?,104
Feldsperling,2,2023,2023-04-03,1,0,F,F,T,F,?,F,F,F,F,F,F,?,93
Feldsperling,2,2023,2023-06-07,3,0,F,F,T,F,?,F,F,F,F,F,F,?,158
Feldsperling,2,2023,2023-03-25,3,0,F,F,T,F,?,F,F,F,F,F,F,?,84
Feldsperling,2,2023,2023-05-02,6,0,F,F,T,F,?,F,F,F,F,F,F,?,122
Feldsperling,3,2021,2021-03-28,4,0,F,F,F,F,?,F,F,F,F,F,F,?,87
Feldsperling,3,2021,2021-05-16,11,0,F,T,F,F,?,T,F,F,F,F,F,?,136
Feldsperling,3,2021,2021-06-13,19,0,F,F,F,F,?,F,F,F,F,F,F,?,164
Feldsperling,3,2021,2021-04-16,27,0,F,F,F,F,?,F,F,F,F,F,F,?,106
Feldsperling,4,2019,2019-03-22,1,0,F,T,F,F,?,F,F,F,F,F,F,?,81
Feldsperling,4,2019,2019-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
Feldsperling,4,2019,2019-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Feldsperling,4,2019,2019-06-05,1,0,F,F,F,F,?,F,F,F,T,F,F,?,156
Feldsperling,4,2020,2020-03-18,4,0,F,T,F,F,?,F,F,F,F,F,F,?,78
Feldsperling,4,2020,2020-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Feldsperling,4,2020,2020-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Feldsperling,4,2020,2020-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Feldsperling,4,2021,2021-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Feldsperling,4,2021,2021-04-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
Feldsperling,4,2021,2021-05-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135
Feldsperling,4,2021,2021-06-04,1,0,?,T,F,F,?,F,F,?,F,F,F,?,155
Feldsperling,4,2022,2022-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Feldsperling,4,2022,2022-04-18,1,0,F,T,F,F,?,F,F,F,F,F,F,?,108
Feldsperling,4,2022,2022-05-12,1,0,F,T,F,F,?,F,F,F,F,F,F,?,132
Feldsperling,4,2022,2022-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Feldsperling,4,2023,2023-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
Feldsperling,4,2023,2023-04-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
Feldsperling,4,2023,2023-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Feldsperling,4,2023,2023-06-07,1,0,F,F,F,F,F,F,F,F,F,F,F,?,158
Feldsperling,6,2018,2018-03-26,3,0,F,F,F,F,?,F,F,F,F,F,F,?,85
Feldsperling,6,2018,2018-04-15,4,0,F,F,F,F,?,F,F,F,F,F,F,?,105
Feldsperling,6,2018,2018-05-19,7,0,F,F,F,F,?,F,F,F,F,F,F,?,139
Feldsperling,6,2018,2018-06-09,23,0,F,F,F,F,?,F,F,F,F,F,T,?,160
Feldsperling,6,2020,2020-04-13,1,0,F,F,F,F,?,F,F,F,F,F,F,?,104
Feldsperling,6,2020,2020-06-13,2,0,F,F,F,F,?,F,F,F,F,F,F,?,165
Feldsperling,6,2020,2020-03-28,4,0,F,F,F,F,?,F,F,F,F,F,F,?,88
Feldsperling,6,2021,2021-03-28,3,0,F,F,F,F,?,F,F,F,F,F,F,?,87
Feldsperling,6,2021,2021-05-08,5,0,F,F,F,F,?,F,F,F,F,F,F,?,128
Feldsperling,6,2021,2021-06-05,8,0,F,F,F,F,?,F,F,F,F,F,F,?,156
Feldsperling,6,2021,2021-04-24,4,0,F,F,F,F,?,F,F,F,F,F,F,?,114
Feldsperling,7,2020,2020-03-15,4,0,F,T,F,F,?,F,F,F,F,F,F,?,75
Feldsperling,7,2020,2020-04-10,7,0,F,F,F,F,?,F,F,F,F,F,F,?,101
Feldsperling,7,2020,2020-05-17,11,0,F,F,T,F,T,F,F,F,F,F,F,?,138
Feldsperling,7,2020,2020-05-31,6,0,F,F,F,F,?,F,F,F,F,F,F,?,152
