DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-19,2020,BY109,11860,Turdus torquatus,0,0
2020-03-28,2020,BY291,11860,Turdus torquatus,0,0
2020-04-26,2020,BY109,11860,Turdus torquatus,0,0
2020-04-28,2020,BY291,11860,Turdus torquatus,0,0
2020-05-19,2020,BY291,11860,Turdus torquatus,0,0
2020-05-20,2020,BY109,11860,Turdus torquatus,0,0
2020-06-20,2020,BY109,11860,Turdus torquatus,0,0
2020-06-20,2020,BY291,11860,Turdus torquatus,0,0
2021-03-24,2021,BY109,11860,Turdus torquatus,0,0
2021-03-26,2021,BY3,11860,Turdus torquatus,0,0
2021-03-28,2021,BY291,11860,Turdus torquatus,0,0
2021-04-24,2021,BY109,11860,Turdus torquatus,0,0
2021-04-24,2021,BY3,11860,Turdus torquatus,0,0
2021-04-25,2021,BY291,11860,Turdus torquatus,0,0
2021-05-14,2021,BY109,11860,Turdus torquatus,0,0
2021-05-15,2021,BY3,11860,Turdus torquatus,0,0
2021-05-16,2021,BY291,11860,Turdus torquatus,0,0
2021-06-12,2021,BY109,11860,Turdus torquatus,0,0
2021-06-12,2021,BY3,11860,Turdus torquatus,0,0
2021-06-13,2021,BY291,11860,Turdus torquatus,0,0
2021-06-19,2021,BY471,11860,Turdus torquatus,1,0
2021-07-10,2021,BY471,11860,Turdus torquatus,0,0
2021-07-29,2021,BY471,11860,Turdus torquatus,0,0
2022-03-26,2022,BY3,11860,Turdus torquatus,0,0
2022-03-26,2022,BY329,11860,Turdus torquatus,2,0
2022-03-27,2022,BY109,11860,Turdus torquatus,0,0
2022-04-17,2022,BY329,11860,Turdus torquatus,0,0
2022-04-22,2022,BY3,11860,Turdus torquatus,0,0
2022-04-27,2022,BY109,11860,Turdus torquatus,0,0
2022-05-14,2022,BY3,11860,Turdus torquatus,0,0
2022-05-15,2022,BY109,11860,Turdus torquatus,0,0
2022-05-20,2022,BY471,11860,Turdus torquatus,0,0
2022-05-22,2022,BY424,11860,Turdus torquatus,0,0
2022-05-28,2022,BY329,11860,Turdus torquatus,0,0
2022-06-04,2022,BY471,11860,Turdus torquatus,1,0
2022-06-10,2022,BY3,11860,Turdus torquatus,0,0
2022-06-11,2022,BY329,11860,Turdus torquatus,0,0
2022-06-18,2022,BY109,11860,Turdus torquatus,0,0
2023-03-22,2023,BY109,11860,Turdus torquatus,0,0
2023-03-26,2023,BY3,11860,Turdus torquatus,0,0
2023-03-28,2023,BY291,11860,Turdus torquatus,0,0
2023-04-02,2023,BY329,11860,Turdus torquatus,0,0
2023-04-22,2023,BY109,11860,Turdus torquatus,1,0
2023-04-22,2023,BY291,11860,Turdus torquatus,0,0
2023-04-22,2023,BY329,11860,Turdus torquatus,0,0
2023-04-29,2023,BY3,11860,Turdus torquatus,0,0
2023-05-14,2023,BY291,11860,Turdus torquatus,0,0
2023-05-19,2023,BY109,11860,Turdus torquatus,0,0
2023-05-19,2023,BY3,11860,Turdus torquatus,0,0
2023-05-21,2023,BY329,11860,Turdus torquatus,0,0
2023-06-06,2023,BY291,11860,Turdus torquatus,0,0
2023-06-10,2023,BY329,11860,Turdus torquatus,0,0
2023-06-11,2023,BY3,11860,Turdus torquatus,0,0
2023-06-18,2023,BY109,11860,Turdus torquatus,0,0
2024-03-25,2024,BY291,11860,Turdus torquatus,0,0
2024-03-30,2024,BY109,11860,Turdus torquatus,0,0
2024-03-30,2024,BY3,11860,Turdus torquatus,0,0
2024-03-30,2024,BY329,11860,Turdus torquatus,0,0
2024-04-12,2024,BY291,11860,Turdus torquatus,1,0
2024-04-22,2024,BY109,11860,Turdus torquatus,0,0
2024-04-27,2024,BY3,11860,Turdus torquatus,1,0
2024-04-28,2024,BY329,11860,Turdus torquatus,0,0
2024-04-29,2024,BY424,11860,Turdus torquatus,0,0
2024-05-13,2024,BY109,11860,Turdus torquatus,0,0
2024-05-13,2024,BY291,11860,Turdus torquatus,0,0
2024-05-18,2024,BY329,11860,Turdus torquatus,0,0
2024-05-19,2024,BY3,11860,Turdus torquatus,0,0
2024-05-26,2024,BY424,11860,Turdus torquatus,0,0
2024-06-12,2024,BY291,11860,Turdus torquatus,0,0
2024-06-14,2024,BY3,11860,Turdus torquatus,0,0
2024-06-18,2024,BY109,11860,Turdus torquatus,0,0
2024-06-22,2024,BY329,11860,Turdus torquatus,0,0
2024-07-19,2024,BY424,11860,Turdus torquatus,0,0
