species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Goldammer,2,2019,2019-03-31,7,0,?,T,T,?,?,T,?,?,?,?,?,?,90
Goldammer,2,2019,2019-04-18,3,0,?,?,T,?,?,?,?,?,?,?,?,?,108
Goldammer,2,2019,2019-05-03,6,0,?,T,T,?,?,T,?,?,?,?,?,?,123
Goldammer,2,2019,2019-06-14,2,0,?,?,T,?,?,?,?,?,?,?,?,?,165
Goldammer,2,2020,2020-04-09,2,0,F,F,T,F,?,F,F,F,F,F,F,?,100
Goldammer,2,2020,2020-05-06,5,0,F,F,T,F,?,T,F,F,F,F,F,?,127
Goldammer,2,2020,2020-03-26,7,0,F,T,T,F,?,F,F,F,F,F,F,?,86
Goldammer,2,2020,2020-06-12,9,0,F,F,T,F,T,F,F,F,F,F,F,?,164
Goldammer,2,2021,2021-03-29,10,0,F,F,T,F,?,T,F,F,F,F,F,?,88
Goldammer,2,2021,2021-05-07,7,0,F,T,T,F,?,F,F,F,F,F,F,?,127
Goldammer,2,2021,2021-06-07,6,0,F,T,T,F,?,F,F,F,F,F,F,?,158
Goldammer,2,2021,2021-04-19,5,0,F,F,T,F,?,F,F,F,F,F,F,?,109
Goldammer,2,2022,2022-03-25,6,0,F,T,T,F,F,F,F,F,F,F,F,?,84
Goldammer,2,2022,2022-05-04,7,0,F,T,T,F,F,F,F,F,F,F,F,?,124
Goldammer,2,2022,2022-06-15,3,0,F,T,T,F,F,F,F,F,F,F,F,?,166
Goldammer,2,2022,2022-04-14,4,0,F,T,T,F,F,F,F,F,F,F,F,?,104
Goldammer,2,2023,2023-04-03,3,0,F,T,T,F,?,F,F,F,F,F,F,?,93
Goldammer,2,2023,2023-06-07,3,0,F,T,T,F,?,F,F,F,F,F,F,?,158
Goldammer,2,2023,2023-03-25,4,0,F,F,T,F,?,F,F,F,F,F,F,?,84
Goldammer,2,2023,2023-05-02,6,0,F,T,T,F,?,F,F,F,F,F,F,?,122
Goldammer,3,2021,2021-03-28,6,6,T,T,F,F,?,T,F,F,F,F,F,?,87
Goldammer,3,2021,2021-05-16,6,0,F,T,F,F,?,T,F,F,F,F,F,?,136
Goldammer,3,2021,2021-06-13,9,0,T,T,F,F,?,T,T,F,F,F,F,?,164
Goldammer,3,2021,2021-04-16,12,12,T,T,F,F,?,T,T,F,F,F,F,?,106
Goldammer,4,2019,2019-03-22,6,0,F,T,T,F,?,F,F,F,F,F,F,?,81
Goldammer,4,2019,2019-04-16,9,0,F,T,T,F,?,T,F,F,F,F,F,?,106
Goldammer,4,2019,2019-05-09,10,0,F,T,T,F,?,T,F,F,F,F,F,?,129
Goldammer,4,2019,2019-06-05,10,0,F,T,T,F,?,F,F,F,F,F,F,?,156
Goldammer,4,2020,2020-03-18,12,0,F,T,T,F,?,T,F,F,F,F,F,?,78
Goldammer,4,2020,2020-04-16,17,0,F,T,T,F,?,T,F,F,F,F,F,?,107
Goldammer,4,2020,2020-05-07,9,0,F,T,T,F,?,T,F,F,F,F,F,?,128
Goldammer,4,2020,2020-06-02,11,0,F,T,T,F,?,F,F,F,F,F,F,?,154
Goldammer,4,2021,2021-03-24,10,0,?,T,T,F,?,T,F,?,F,F,F,?,83
Goldammer,4,2021,2021-04-20,6,0,?,F,T,F,?,T,F,?,F,F,F,?,110
Goldammer,4,2021,2021-05-15,7,0,?,T,T,F,?,F,F,?,F,F,F,?,135
Goldammer,4,2021,2021-06-04,8,0,?,T,T,F,?,T,F,?,F,F,F,?,155
Goldammer,4,2022,2022-03-21,6,0,F,T,T,F,?,F,F,F,F,F,F,?,80
Goldammer,4,2022,2022-04-18,6,0,F,T,T,F,?,F,F,F,F,F,F,?,108
