species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Elster,2,2019,2019-03-31,3,0,?,?,?,?,?,T,?,?,?,?,?,?,90
Elster,2,2019,2019-04-18,1,0,?,?,?,?,?,?,?,?,?,?,?,?,108
Elster,2,2019,2019-05-03,2,0,?,?,T,?,?,?,?,?,?,?,?,?,123
Elster,2,2019,2019-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Elster,2,2020,2020-04-09,1,0,F,F,F,F,?,F,F,F,F,F,F,?,100
Elster,2,2020,2020-05-06,2,0,F,F,F,F,?,F,F,F,F,F,F,?,127
Elster,2,2020,2020-03-26,2,0,F,F,F,F,?,F,F,F,F,F,F,?,86
Elster,2,2020,2020-06-12,1,0,F,F,T,F,?,F,F,F,F,F,F,?,164
Elster,2,2021,2021-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Elster,2,2021,2021-05-07,1,0,F,F,F,F,?,F,F,F,F,F,F,?,127
Elster,2,2021,2021-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
Elster,2,2021,2021-04-19,1,0,F,F,F,F,?,F,F,F,F,T,F,?,109
Elster,2,2022,2022-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Elster,2,2022,2022-05-04,2,0,F,F,F,F,F,T,F,F,F,F,F,?,124
Elster,2,2022,2022-06-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Elster,2,2022,2022-04-14,1,0,F,F,T,F,F,F,F,F,F,F,F,?,104
Elster,2,2023,2023-04-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93
Elster,2,2023,2023-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
Elster,2,2023,2023-03-25,1,0,F,F,T,F,?,F,F,F,F,F,F,?,84
Elster,2,2023,2023-05-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122
Elster,4,2019,2019-03-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
Elster,4,2019,2019-04-16,2,0,F,F,F,T,?,F,F,F,F,T,F,?,106
Elster,4,2019,2019-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Elster,4,2019,2019-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Elster,4,2020,2020-03-18,1,0,F,F,F,F,?,F,F,F,F,T,F,?,78
Elster,4,2020,2020-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Elster,4,2020,2020-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Elster,4,2020,2020-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Elster,4,2021,2021-03-24,1,0,?,F,F,F,?,F,F,?,F,F,F,?,83
Elster,4,2021,2021-04-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
Elster,4,2021,2021-05-15,1,0,?,F,F,T,?,F,F,?,F,F,F,?,135
Elster,4,2021,2021-06-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155
Elster,4,2022,2022-03-21,1,0,F,F,T,F,?,F,F,F,F,F,F,?,80
Elster,4,2022,2022-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
