NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Coturnix coturnix,Wachtel,bw10,2023,2023-04-30,0,non_breeder,120
Coturnix coturnix,Wachtel,bw10,2023,2023-05-14,1,non_breeder,134
Coturnix coturnix,Wachtel,bw10,2023,2023-05-27,2,non_breeder,147
Coturnix coturnix,Wachtel,bw10,2023,2023-03-18,0,non_breeder,77
Coturnix coturnix,Wachtel,bw10,2025,2025-04-16,0,non_breeder,106
Coturnix coturnix,Wachtel,bw10,2025,2025-05-31,3,non_breeder,151
Coturnix coturnix,Wachtel,bw10,2025,2025-03-23,0,non_breeder,82
Coturnix coturnix,Wachtel,bw10,2025,2025-05-11,0,non_breeder,131
Coturnix coturnix,Wachtel,bw123,2024,2024-03-22,0,non_breeder,82
Coturnix coturnix,Wachtel,bw123,2024,2024-04-23,0,non_breeder,114
Coturnix coturnix,Wachtel,bw123,2024,2024-05-11,1,non_breeder,132
Coturnix coturnix,Wachtel,bw123,2024,2024-06-05,0,non_breeder,157
Coturnix coturnix,Wachtel,bw13,2022,2022-03-27,0,non_breeder,86
Coturnix coturnix,Wachtel,bw13,2022,2022-04-15,0,non_breeder,105
Coturnix coturnix,Wachtel,bw13,2022,2022-05-09,0,non_breeder,129
Coturnix coturnix,Wachtel,bw13,2022,2022-06-04,2,non_breeder,155
Coturnix coturnix,Wachtel,bw13,2025,2025-03-28,0,non_breeder,87
Coturnix coturnix,Wachtel,bw13,2025,2025-04-15,0,non_breeder,105
Coturnix coturnix,Wachtel,bw13,2025,2025-05-10,0,non_breeder,130
Coturnix coturnix,Wachtel,bw13,2025,2025-06-08,1,non_breeder,159
Coturnix coturnix,Wachtel,bw131,2025,2025-03-28,0,non_breeder,87
Coturnix coturnix,Wachtel,bw131,2025,2025-04-30,0,non_breeder,120
Coturnix coturnix,Wachtel,bw131,2025,2025-05-26,1,non_breeder,146
Coturnix coturnix,Wachtel,bw131,2025,2025-06-15,0,non_breeder,166
Coturnix coturnix,Wachtel,bw142,2025,2025-03-21,0,non_breeder,80
Coturnix coturnix,Wachtel,bw142,2025,2025-04-10,0,non_breeder,100
Coturnix coturnix,Wachtel,bw142,2025,2025-05-09,0,non_breeder,129
Coturnix coturnix,Wachtel,bw142,2025,2025-05-30,1,non_breeder,150
Coturnix coturnix,Wachtel,bw162,2025,2025-03-21,0,non_breeder,80
Coturnix coturnix,Wachtel,bw162,2025,2025-04-10,0,non_breeder,100
Coturnix coturnix,Wachtel,bw162,2025,2025-05-17,2,non_breeder,137
Coturnix coturnix,Wachtel,bw162,2025,2025-06-16,1,non_breeder,167
Coturnix coturnix,Wachtel,bw163,2022,2022-03-15,0,non_breeder,74
Coturnix coturnix,Wachtel,bw163,2022,2022-04-29,0,non_breeder,119
Coturnix coturnix,Wachtel,bw163,2022,2022-05-19,0,non_breeder,139
Coturnix coturnix,Wachtel,bw163,2022,2022-06-13,1,non_breeder,164
Coturnix coturnix,Wachtel,bw202,2022,2022-03-20,0,non_breeder,79
Coturnix coturnix,Wachtel,bw202,2022,2022-04-06,0,non_breeder,96
Coturnix coturnix,Wachtel,bw202,2022,2022-05-02,0,non_breeder,122
Coturnix coturnix,Wachtel,bw202,2022,2022-05-23,1,non_breeder,143
Coturnix coturnix,Wachtel,bw207,2025,2025-03-28,0,non_breeder,87
Coturnix coturnix,Wachtel,bw207,2025,2025-04-12,0,non_breeder,102
Coturnix coturnix,Wachtel,bw207,2025,2025-05-10,0,non_breeder,130
