species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Kleiber,4,2019,2019-03-22,5,0,F,T,T,F,?,F,F,F,F,F,F,?,81
Kleiber,4,2019,2019-04-16,5,0,F,T,F,F,?,F,F,F,F,F,F,?,106
Kleiber,4,2019,2019-05-09,1,0,F,F,T,F,?,F,F,F,F,F,F,?,129
Kleiber,4,2019,2019-06-05,1,0,F,T,F,F,?,F,F,F,F,F,F,?,156
Kleiber,4,2020,2020-03-18,5,0,F,T,T,F,?,F,F,F,F,F,F,?,78
Kleiber,4,2020,2020-04-16,2,0,F,T,F,F,?,F,F,F,F,F,F,?,107
Kleiber,4,2020,2020-05-07,3,0,F,T,F,F,?,F,F,F,F,F,F,?,128
Kleiber,4,2020,2020-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Kleiber,4,2021,2021-03-24,1,0,?,T,F,F,?,F,F,?,F,F,F,?,83
Kleiber,4,2021,2021-04-20,6,0,?,T,T,F,?,F,F,?,F,F,F,?,110
Kleiber,4,2021,2021-05-15,1,0,?,T,F,F,?,F,F,?,F,F,F,?,135
Kleiber,4,2021,2021-06-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155
Kleiber,4,2022,2022-03-21,6,0,F,T,F,F,?,F,F,F,F,F,F,?,80
Kleiber,4,2022,2022-04-18,5,0,F,T,F,F,?,F,F,F,F,F,F,?,108
Kleiber,4,2022,2022-05-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132
Kleiber,4,2022,2022-06-02,1,0,F,T,F,F,?,F,F,F,F,F,F,?,153
Kleiber,4,2023,2023-03-18,2,0,F,T,F,F,F,F,F,F,F,F,F,?,77
Kleiber,4,2023,2023-04-26,3,0,F,T,F,F,F,F,F,F,F,F,F,?,116
Kleiber,4,2023,2023-05-19,2,0,F,T,F,F,F,F,F,F,F,F,F,?,139
Kleiber,4,2023,2023-06-07,3,0,F,T,T,F,F,F,F,F,F,F,F,?,158
Kleiber,10,2018,2018-03-26,4,0,F,F,F,F,?,F,F,F,F,F,F,?,85
Kleiber,10,2018,2018-04-18,4,0,F,T,F,F,?,F,F,F,F,F,F,?,108
Kleiber,10,2018,2018-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127
Kleiber,10,2018,2018-05-18,2,0,F,F,F,F,?,F,F,F,F,F,F,?,138
Kleiber,10,2018,2018-05-23,1,0,F,F,F,F,?,F,F,F,F,F,F,?,143
Kleiber,10,2020,2020-03-17,2,0,F,T,F,F,?,F,F,F,F,F,F,?,77
Kleiber,10,2020,2020-04-10,3,0,F,T,F,F,?,F,F,F,F,F,F,?,101
Kleiber,10,2020,2020-05-01,2,0,F,T,F,F,?,F,F,F,F,F,F,?,122
