species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Schwarzkehlchen,3,2021,2021-03-28,3,0,F,F,F,F,?,F,F,F,F,F,F,?,87
Schwarzkehlchen,3,2021,2021-05-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136
Schwarzkehlchen,3,2021,2021-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164
Schwarzkehlchen,3,2021,2021-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
Schwarzkehlchen,6,2020,2020-04-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
Schwarzkehlchen,6,2020,2020-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Schwarzkehlchen,6,2020,2020-03-28,1,0,F,F,F,F,?,F,F,F,F,F,F,?,88
Schwarzkehlchen,6,2021,2021-03-28,1,0,F,F,F,F,?,F,F,F,F,F,F,?,87
Schwarzkehlchen,6,2021,2021-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Schwarzkehlchen,6,2021,2021-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Schwarzkehlchen,6,2021,2021-04-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114
Schwarzkehlchen,25,2021,2021-04-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114
Schwarzkehlchen,25,2021,2021-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Schwarzkehlchen,25,2021,2021-05-24,1,0,F,F,F,F,?,F,T,F,F,F,F,?,144
Schwarzkehlchen,98,2020,2020-03-15,1,0,F,F,F,F,F,F,F,F,F,F,F,?,75
Schwarzkehlchen,98,2020,2020-04-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113
Schwarzkehlchen,98,2020,2020-05-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141
Schwarzkehlchen,98,2020,2020-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169
Schwarzkehlchen,98,2023,2023-03-28,1,0,F,F,F,F,?,F,F,F,F,F,F,?,87
Schwarzkehlchen,98,2023,2023-04-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103
Schwarzkehlchen,98,2023,2023-05-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126
Schwarzkehlchen,98,2023,2023-06-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
Schwarzkehlchen,99,2020,2020-03-27,1,1,T,F,F,F,F,F,F,F,F,F,F,?,87
Schwarzkehlchen,99,2020,2020-04-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
