species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Grauspecht,36,2021,2021-03-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
Grauspecht,36,2021,2021-04-24,1,0,?,?,T,?,?,?,?,?,?,?,?,?,114
Grauspecht,36,2021,2021-05-13,1,0,F,F,T,F,?,F,F,F,F,F,F,?,133
Grauspecht,36,2021,2021-06-06,1,0,F,F,T,F,?,F,F,F,F,F,F,?,157
Grauspecht,49,2020,2020-03-28,1,0,F,F,T,F,?,F,F,F,F,F,F,?,88
Grauspecht,49,2020,2020-04-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102
Grauspecht,49,2020,2020-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
Grauspecht,49,2020,2020-06-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Grauspecht,49,2021,2021-03-28,1,0,?,?,T,?,?,?,?,?,?,?,?,?,87
Grauspecht,49,2021,2021-04-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117
Grauspecht,49,2021,2021-05-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149
Grauspecht,49,2021,2021-06-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167
Grauspecht,84,2021,2021-03-24,1,0,F,F,T,F,?,F,F,F,F,F,F,?,83
Grauspecht,84,2021,2021-04-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
Grauspecht,84,2021,2021-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Grauspecht,84,2021,2021-06-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161
Grauspecht,93,2021,2021-03-25,1,0,F,F,T,F,?,F,F,F,F,F,F,?,84
Grauspecht,93,2021,2021-04-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113
Grauspecht,93,2021,2021-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Grauspecht,93,2021,2021-06-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162
Grauspecht,96,2020,2020-03-20,1,0,F,F,F,F,?,F,F,F,F,F,F,?,80
Grauspecht,96,2020,2020-04-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97
Grauspecht,96,2020,2020-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Grauspecht,96,2020,2020-05-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143
Grauspecht,101,2021,2021-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Grauspecht,101,2021,2021-04-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Grauspecht,101,2021,2021-05-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135
Grauspecht,101,2021,2021-06-20,1,0,F,F,F,F,?,F,F,F,F,F,F,?,171
Grauspecht,114,2020,2020-03-19,1,0,F,F,T,F,?,F,F,F,F,F,F,?,79
Grauspecht,114,2020,2020-04-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
Grauspecht,114,2020,2020-05-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127
Grauspecht,114,2020,2020-05-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Grauspecht,120,2020,2020-03-15,1,0,F,F,T,F,?,F,F,F,F,F,F,?,75
Grauspecht,120,2020,2020-04-18,1,0,F,F,T,F,?,F,F,F,F,F,F,?,109
Grauspecht,120,2020,2020-05-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
Grauspecht,120,2020,2020-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Grauspecht,122,2021,2021-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Grauspecht,122,2021,2021-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Grauspecht,122,2021,2021-05-13,1,0,F,?,?,?,?,?,F,?,?,?,?,?,133
Grauspecht,122,2021,2021-05-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150
Grauspecht,127,2018,2018-03-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71
Grauspecht,127,2018,2018-04-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93
Grauspecht,127,2018,2018-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127
Grauspecht,127,2018,2018-05-31,2,0,?,F,T,F,?,F,F,F,F,F,F,?,151
Grauspecht,200,2018,2018-03-24,1,0,?,F,F,F,?,F,F,F,F,F,F,?,83
Grauspecht,200,2018,2018-04-08,1,0,?,F,F,F,?,F,F,F,F,F,F,?,98
Grauspecht,200,2018,2018-05-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126
Grauspecht,200,2018,2018-06-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161
Grauspecht,251,2021,2021-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Grauspecht,251,2021,2021-04-24,1,0,?,?,?,?,?,T,?,?,?,?,?,?,114
Grauspecht,251,2021,2021-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Grauspecht,251,2021,2021-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Grauspecht,300,2021,2021-03-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Grauspecht,300,2021,2021-04-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119
Grauspecht,300,2021,2021-05-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150
Grauspecht,300,2021,2021-06-13,2,0,F,F,T,F,?,F,F,F,F,F,F,?,164
Grauspecht,330,2021,2021-03-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69
Grauspecht,330,2021,2021-04-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93
Grauspecht,330,2021,2021-05-08,2,0,F,F,T,F,?,F,?,F,F,F,F,?,128
Grauspecht,330,2021,2021-05-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150
Grauspecht,330,2021,2021-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
Grauspecht,339,2018,2018-03-31,1,0,?,F,T,F,?,F,F,F,F,F,F,?,90
Grauspecht,339,2018,2018-04-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
Grauspecht,339,2018,2018-05-12,1,0,?,F,T,F,?,F,F,F,F,F,F,?,132
Grauspecht,339,2018,2018-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168
Grauspecht,339,2020,2020-03-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
Grauspecht,339,2020,2020-04-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
Grauspecht,339,2020,2020-05-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Grauspecht,339,2020,2020-06-20,2,0,F,F,T,F,?,F,F,F,F,F,F,?,172
Grauspecht,339,2021,2021-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Grauspecht,339,2021,2021-05-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
Grauspecht,339,2021,2021-05-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146
Grauspecht,339,2021,2021-06-20,1,0,F,?,?,?,?,?,F,?,?,?,?,?,171
Grauspecht,340,2023,2023-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Grauspecht,340,2023,2023-04-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117
Grauspecht,340,2023,2023-05-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141
Grauspecht,340,2023,2023-06-08,1,0,F,F,F,F,F,F,F,F,F,F,F,?,159
Grauspecht,346,2023,2023-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Grauspecht,346,2023,2023-04-26,1,0,F,F,T,F,F,F,F,F,F,F,F,?,116
Grauspecht,346,2023,2023-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Grauspecht,346,2023,2023-06-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170
