species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Bachstelze,2,2019,2019-03-31,1,0,?,?,?,?,?,?,?,?,?,?,?,?,90
Bachstelze,2,2019,2019-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Bachstelze,2,2019,2019-05-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
Bachstelze,2,2019,2019-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Bachstelze,2,2020,2020-04-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
Bachstelze,2,2020,2020-05-06,2,0,F,F,T,F,?,F,F,F,F,F,F,?,127
Bachstelze,2,2020,2020-03-26,3,0,F,F,F,F,?,F,F,F,F,F,F,?,86
Bachstelze,2,2020,2020-06-12,1,0,F,F,T,F,?,F,F,F,F,F,F,?,164
Bachstelze,2,2021,2021-03-29,2,0,F,F,T,F,?,F,F,F,F,F,F,?,88
Bachstelze,2,2021,2021-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127
Bachstelze,2,2021,2021-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
Bachstelze,2,2021,2021-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Bachstelze,2,2022,2022-03-25,1,0,F,F,T,F,F,F,F,F,F,F,F,?,84
Bachstelze,2,2022,2022-05-04,2,0,F,F,T,F,F,F,F,F,F,F,F,?,124
Bachstelze,2,2022,2022-06-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Bachstelze,2,2022,2022-04-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
Bachstelze,2,2023,2023-04-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93
Bachstelze,2,2023,2023-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
Bachstelze,2,2023,2023-03-25,1,0,F,F,T,F,?,F,F,F,F,F,F,?,84
Bachstelze,2,2023,2023-05-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122
Bachstelze,7,2020,2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Bachstelze,7,2020,2020-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Bachstelze,7,2020,2020-05-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
Bachstelze,7,2020,2020-05-31,4,0,F,F,T,F,?,F,F,F,F,F,F,?,152
Bachstelze,7,2021,2021-03-17,1,0,F,F,T,F,?,F,?,F,F,F,F,?,76
Bachstelze,7,2021,2021-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
