species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Feldsperling,13,2018,2018-03-25,7,0,F,F,F,F,?,F,F,F,F,F,F,?,84
Feldsperling,13,2018,2018-04-19,5,0,F,F,F,F,?,T,F,F,F,F,F,?,109
Feldsperling,13,2018,2018-05-12,1,0,F,F,F,F,?,F,F,F,F,F,F,?,132
Feldsperling,13,2018,2018-06-03,2,0,F,F,T,F,?,F,F,F,F,F,F,?,154
Feldsperling,13,2020,2020-03-28,7,0,F,F,F,F,?,F,F,F,F,F,F,?,88
Feldsperling,13,2020,2020-04-19,2,0,F,F,F,F,?,F,F,F,F,F,F,?,110
Feldsperling,13,2020,2020-05-10,5,0,F,F,F,F,?,F,F,F,F,F,F,?,131
Feldsperling,13,2020,2020-06-05,1,0,F,F,F,F,?,F,F,F,F,F,F,?,157
Feldsperling,13,2021,2021-03-28,3,0,F,F,F,F,?,T,F,F,F,F,F,?,87
Feldsperling,13,2021,2021-04-18,1,0,F,F,F,F,?,F,F,F,F,F,F,?,108
Feldsperling,13,2021,2021-05-10,1,0,F,F,T,F,?,F,F,F,F,F,F,?,130
Feldsperling,13,2021,2021-06-05,2,0,F,F,F,F,?,F,F,F,F,F,F,?,156
Feldsperling,15,2019,2019-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Feldsperling,15,2019,2019-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Feldsperling,15,2019,2019-05-01,2,0,?,?,?,?,?,?,?,?,?,?,?,?,121
Feldsperling,15,2019,2019-06-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Feldsperling,15,2020,2020-03-16,5,0,?,F,?,?,?,T,?,?,?,?,?,?,76
Feldsperling,15,2020,2020-04-13,4,0,?,?,?,?,?,?,?,?,?,?,?,?,104
Feldsperling,15,2020,2020-05-09,4,0,?,F,?,?,?,?,?,?,?,?,?,?,130
Feldsperling,15,2020,2020-05-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Feldsperling,15,2021,2021-03-29,6,0,?,F,F,F,?,T,?,?,?,?,?,?,88
Feldsperling,15,2021,2021-04-18,1,0,?,F,?,?,?,?,?,?,?,?,?,?,108
Feldsperling,15,2021,2021-05-14,4,0,?,F,T,?,?,?,?,?,?,?,?,?,134
Feldsperling,15,2021,2021-06-18,3,0,?,F,?,?,?,?,?,?,?,?,?,?,169
Feldsperling,15,2021,2021-03-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Feldsperling,15,2022,2022-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
Feldsperling,15,2022,2022-04-21,1,0,F,F,F,F,F,F,F,F,F,F,F,?,111
Feldsperling,15,2022,2022-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Feldsperling,15,2022,2022-05-29,4,0,F,F,F,F,F,F,F,F,F,F,F,?,149
Feldsperling,15,2022,2022-03-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Feldsperling,15,2023,2023-03-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
Feldsperling,15,2023,2023-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Feldsperling,15,2023,2023-05-11,4,0,F,F,F,F,?,F,F,F,F,F,F,?,131
Feldsperling,15,2023,2023-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164
Feldsperling,33,2020,2020-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Feldsperling,33,2020,2020-04-25,1,0,F,F,T,F,?,F,F,F,F,F,F,?,116
Feldsperling,33,2020,2020-05-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137
Feldsperling,33,2020,2020-06-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Feldsperling,39,2019,2019-03-19,57,0,F,F,F,F,?,F,F,F,F,F,F,?,78
Feldsperling,39,2019,2019-04-15,38,0,F,F,F,F,?,F,F,F,F,F,F,?,105
Feldsperling,39,2019,2019-05-07,32,0,F,F,F,F,?,F,F,F,F,F,F,?,127
Feldsperling,39,2019,2019-06-08,29,0,F,F,F,F,?,F,F,F,F,F,F,?,159
Feldsperling,50,2018,2018-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Feldsperling,50,2018,2018-04-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
Feldsperling,50,2018,2018-05-05,1,0,F,F,F,F,?,F,F,F,F,F,F,?,125
Feldsperling,50,2018,2018-06-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155
Feldsperling,57,2019,2019-03-26,1,0,F,F,F,F,?,F,F,F,F,F,F,?,85
