species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Turmfalke,2,2019,2019-03-31,1,0,?,?,?,?,?,?,?,?,?,?,?,?,90
Turmfalke,2,2019,2019-04-18,1,0,?,?,?,?,?,?,?,?,?,?,?,?,108
Turmfalke,2,2019,2019-05-03,1,0,?,?,?,?,?,?,?,?,?,?,?,?,123
Turmfalke,2,2019,2019-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Turmfalke,2,2020,2020-04-09,2,0,F,F,F,F,?,T,F,F,F,F,F,?,100
Turmfalke,2,2020,2020-05-06,1,0,F,F,F,F,?,F,F,F,F,F,F,?,127
Turmfalke,2,2020,2020-03-26,1,0,F,F,F,F,?,F,F,F,F,F,F,?,86
Turmfalke,2,2020,2020-06-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164
Turmfalke,2,2021,2021-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Turmfalke,2,2021,2021-05-07,1,0,F,F,F,F,?,F,F,F,F,F,F,?,127
Turmfalke,2,2021,2021-06-07,2,0,F,F,F,F,?,T,F,F,F,F,F,?,158
Turmfalke,2,2021,2021-04-19,1,0,F,F,F,F,?,F,F,F,F,T,F,?,109
Turmfalke,2,2022,2022-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Turmfalke,2,2022,2022-05-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124
Turmfalke,2,2022,2022-06-15,1,0,F,F,T,F,F,F,F,F,F,F,F,?,166
Turmfalke,2,2022,2022-04-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
Turmfalke,2,2023,2023-04-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93
Turmfalke,2,2023,2023-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
Turmfalke,2,2023,2023-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Turmfalke,2,2023,2023-05-02,3,0,F,F,T,F,?,T,F,F,F,T,F,?,122
Turmfalke,4,2019,2019-03-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
Turmfalke,4,2019,2019-04-16,1,0,F,F,F,F,?,F,F,F,F,T,F,?,106
Turmfalke,4,2019,2019-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Turmfalke,4,2019,2019-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Turmfalke,4,2020,2020-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
