species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Star,2,2019,2019-03-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
Star,2,2019,2019-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Star,2,2019,2019-05-03,2,0,?,?,?,?,?,T,?,?,?,?,?,?,123
Star,2,2019,2019-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Star,2,2020,2020-04-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
Star,2,2020,2020-05-06,1,0,F,F,F,F,?,F,F,F,F,F,F,?,127
Star,2,2020,2020-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
Star,2,2020,2020-06-12,1,0,F,F,T,F,?,F,F,F,F,F,F,?,164
Star,2,2021,2021-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Star,2,2021,2021-05-07,1,0,F,F,F,T,?,F,F,F,F,F,F,?,127
Star,2,2021,2021-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
Star,2,2021,2021-04-19,2,0,F,F,T,F,?,F,F,F,F,F,F,?,109
Star,2,2022,2022-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Star,2,2022,2022-05-04,2,0,F,F,T,F,F,T,F,F,F,F,F,?,124
Star,2,2022,2022-06-15,1,0,F,F,F,F,F,F,F,F,F,F,F,?,166
Star,2,2022,2022-04-14,1,0,F,F,T,F,F,T,F,F,F,F,F,?,104
Star,2,2023,2023-04-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93
Star,2,2023,2023-06-07,1,0,F,T,F,F,?,F,F,F,F,F,F,?,158
Star,2,2023,2023-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Star,2,2023,2023-05-02,5,0,F,T,T,F,?,F,F,F,F,F,F,?,122
Star,4,2019,2019-03-22,1,0,F,T,F,F,?,F,F,F,F,F,F,?,81
Star,4,2019,2019-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
Star,4,2019,2019-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Star,4,2019,2019-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Star,4,2021,2021-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Star,4,2021,2021-04-20,1,0,?,T,F,F,?,F,F,?,F,F,F,?,110
Star,4,2021,2021-05-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135
Star,4,2021,2021-06-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155
Star,4,2022,2022-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Star,4,2022,2022-04-18,1,0,F,T,F,F,?,F,F,F,F,F,F,?,108
Star,4,2022,2022-05-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132
Star,4,2022,2022-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Star,6,2018,2018-03-26,8,0,F,F,F,F,?,T,F,T,F,F,F,?,85
Star,6,2018,2018-04-15,4,0,F,T,F,F,?,F,F,F,F,F,F,?,105
Star,6,2018,2018-05-19,16,0,F,F,F,F,?,F,F,F,F,F,F,?,139
Star,6,2018,2018-06-09,41,0,F,F,F,F,?,F,F,F,F,F,T,?,160
Star,6,2020,2020-04-13,3,0,F,F,F,F,?,F,F,F,F,F,F,?,104
Star,6,2020,2020-06-13,2,0,F,F,F,F,?,F,F,F,F,F,F,?,165
Star,6,2020,2020-03-28,3,0,F,T,F,F,?,F,F,F,F,F,F,?,88
Star,6,2021,2021-03-28,3,0,F,T,F,F,?,F,F,F,F,F,F,?,87
Star,6,2021,2021-05-08,2,0,F,T,F,F,?,F,F,F,F,F,F,?,128
Star,6,2021,2021-06-05,2,0,F,T,F,F,?,F,F,F,F,F,F,?,156
Star,6,2021,2021-04-24,6,0,T,T,F,F,?,F,F,F,F,F,F,?,114
Star,7,2020,2020-03-15,2,0,F,F,F,F,?,F,F,F,F,F,F,?,75
Star,7,2020,2020-04-10,1,1,T,F,F,F,?,F,F,F,F,F,F,?,101
Star,7,2020,2020-05-17,3,0,F,F,T,F,?,F,F,F,F,F,F,?,138
Star,7,2020,2020-05-31,2,0,F,F,F,F,?,F,F,F,F,F,F,?,152
Star,7,2021,2021-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
Star,7,2021,2021-05-09,1,0,F,T,F,F,?,F,?,F,F,F,F,?,129
Star,7,2021,2021-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
Star,7,2021,2021-06-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159
Star,10,2018,2018-03-26,58,0,T,F,T,F,?,F,F,F,T,F,F,?,85
Star,10,2018,2018-04-18,24,0,F,T,F,F,?,F,F,F,F,F,F,?,108
Star,10,2018,2018-05-07,14,0,F,T,F,F,?,F,F,F,F,F,F,?,127
Star,10,2018,2018-05-18,22,0,F,F,F,F,?,F,F,F,T,F,F,?,138
Star,10,2018,2018-05-23,50,0,T,T,F,F,?,F,F,F,T,T,F,?,143
Star,10,2020,2020-03-17,21,21,T,T,F,F,?,F,F,F,F,T,F,?,77
Star,10,2020,2020-04-10,55,0,T,T,F,F,T,F,F,F,T,F,F,?,101
Star,10,2020,2020-05-01,33,0,T,T,T,F,?,F,F,F,T,F,F,?,122
